region,year,month,T?ng s?n lý?ng,prev_value,Ph?n trãm tãng trý?ng
CENTRAL,2015,01/09/2015,7743,8805,-12.06132879
CENTRAL,2015,01/10/2015,5799,7743,-25.10654785
CENTRAL,2015,01/11/2015,4775,5799,-17.65821693
CENTRAL,2015,01/12/2015,7743,4775,62.15706806
CENTRAL,2016,01/01/2016,4909,7743,-36.60080072
CENTRAL,2016,01/02/2016,5219,4909,6.314931758
CENTRAL,2016,01/03/2016,7753,5219,48.55336271
CENTRAL,2016,01/04/2016,12342,7753,59.18999097
CENTRAL,2016,01/05/2016,11420,12342,-7.470426187
CENTRAL,2016,01/06/2016,11513,11420,0.814360771
CENTRAL,2016,01/07/2016,8342,11513,-27.54277773
CENTRAL,2016,01/08/2016,9795,8342,17.4178854
CENTRAL,2016,01/09/2016,6273,9795,-35.95712098
CENTRAL,2016,01/10/2016,5060,6273,-19.33684043
CENTRAL,2016,01/11/2016,4974,5060,-1.699604743
CENTRAL,2016,01/12/2016,7011,4974,40.95295537
CENTRAL,2017,01/01/2017,3322,7011,-52.61731565
CENTRAL,2017,01/02/2017,4191,3322,26.1589404
CENTRAL,2017,01/03/2017,8407,4191,100.5965163
CENTRAL,2017,01/04/2017,10331,8407,22.8856905
CENTRAL,2017,01/05/2017,11915,10331,15.33249443
CENTRAL,2017,01/06/2017,12513,11915,5.01888376
CENTRAL,2017,01/07/2017,8449,12513,-32.47822265
CENTRAL,2017,01/08/2017,8324,8449,-1.479465025
CENTRAL,2017,01/09/2017,6369,8324,-23.48630466
CENTRAL,2017,01/10/2017,5062,6369,-20.52127493
CENTRAL,2017,01/11/2017,4439,5062,-12.30738838
CENTRAL,2017,01/12/2017,5756,4439,29.66884433
CENTRAL,2018,01/01/2018,3697,5756,-35.77136901
CENTRAL,2018,01/02/2018,4634,3697,25.34487422
CENTRAL,2018,01/03/2018,8093,4634,74.64393612
CENTRAL,2018,01/04/2018,10527,8093,30.07537378
CENTRAL,2018,01/05/2018,12831,10527,21.88657737
CENTRAL,2018,01/06/2018,14976,12831,16.71732523
CENTRAL,2018,01/07/2018,9761,14976,-34.82238248
CENTRAL,2018,01/08/2018,8360,9761,-14.3530376
CENTRAL,2018,01/09/2018,4981,8360,-40.41866029
CENTRAL,2018,01/10/2018,4068,4981,-18.32965268
CENTRAL,2018,01/11/2018,3146,4068,-22.6647001
CENTRAL,2018,01/12/2018,4529,3146,43.96058487
CENTRAL,2019,01/01/2019,2964,4529,-34.55508942
CENTRAL,2019,01/02/2019,3595,2964,21.28879892
CENTRAL,2019,01/03/2019,5247,3595,45.9527121
CENTRAL,2019,01/04/2019,5480,5247,4.440632743
CENTRAL,2019,01/05/2019,6051,5480,10.41970803
CENTRAL,2019,01/06/2019,6135,6051,1.388200297
CENTRAL,2019,01/07/2019,4526,6135,-26.22656887
CENTRAL,2019,01/08/2019,5885,4526,30.02651348
CENTRAL,2019,01/09/2019,3522,5885,-40.15293118
CENTRAL,2019,01/10/2019,2750,3522,-21.919364
CENTRAL,2019,01/11/2019,2596,2750,-5.6
CENTRAL,2019,01/12/2019,3667,2596,41.25577812
CENTRAL,2020,01/01/2020,1965,3667,-46.41396237
CENTRAL,2020,01/02/2020,2367,1965,20.45801527
CENTRAL,2020,01/03/2020,4759,2367,101.0561893
CENTRAL,2020,01/04/2020,5791,4759,21.68522799
CENTRAL,2020,01/05/2020,5218,5791,-9.894664134
CENTRAL,2020,01/06/2020,4641,5218,-11.05787658
CENTRAL,2020,01/07/2020,4414,4641,-4.891187244
CENTRAL,2020,01/08/2020,4698,4414,6.434073403
CENTRAL,2020,01/09/2020,3098,4698,-34.05704555
CENTRAL,2020,01/10/2020,2597,3098,-16.17172369
CENTRAL,2020,01/11/2020,1796,2597,-30.84328071
CENTRAL,2020,01/12/2020,3104,1796,72.8285078
CENTRAL,2021,01/01/2021,1575,3104,-49.25902062
CENTRAL,2021,01/02/2021,2285,1575,45.07936508
CENTRAL,2021,01/03/2021,5191,2285,127.1772429
CENTRAL,2021,01/04/2021,5474,5191,5.451743402
CENTRAL,2021,01/05/2021,5786,5474,5.699671173
CENTRAL,2021,01/06/2021,4730,5786,-18.25095057
CENTRAL,2021,01/07/2021,4457,4730,-5.77167019
CENTRAL,2021,01/08/2021,4062,4457,-8.86246354
CENTRAL,2021,01/09/2021,3408,4062,-16.10044313
CENTRAL,2021,01/10/2021,2266,3408,-33.50938967
CENTRAL,2021,01/11/2021,1899,2266,-16.19593998
CENTRAL,2021,01/12/2021,3079,1899,62.13796735
CENTRAL,2022,01/01/2022,2214,3079,-28.09353686
CENTRAL,2022,01/02/2022,2589,2214,16.93766938
CENTRAL,2022,01/03/2022,5268,2589,103.4762457
CENTRAL,2022,01/04/2022,5859,5268,11.21867882
CENTRAL,2022,01/05/2022,4776,5859,-18.484383
CENTRAL,2022,01/06/2022,5222,4776,9.338358459
CENTRAL,2022,01/07/2022,3949,5222,-24.37763309
CENTRAL,2022,01/08/2022,4167,3949,5.520384908
CENTRAL,2022,01/09/2022,3222,4167,-22.67818575
CENTRAL,2022,01/10/2022,2416,3222,-25.01551831
CENTRAL,2022,01/11/2022,2051,2416,-15.10761589
CENTRAL,2022,01/12/2022,3204,2051,56.21647977
EAST,2012,01/07/2012,10517,,
EAST,2012,01/08/2012,12927,10517,22.91528002
EAST,2012,01/09/2012,10505,12927,-18.73597896
EAST,2012,01/10/2012,8202,10505,-21.92289386
EAST,2012,01/11/2012,7805,8202,-4.840282858
EAST,2012,01/12/2012,15153,7805,94.14477899
EAST,2013,01/01/2013,6184,15153,-59.18959942
EAST,2013,01/02/2013,7729,6184,24.98382924
EAST,2013,01/03/2013,12787,7729,65.44184241
EAST,2013,01/04/2013,17144,12787,34.07366857
EAST,2013,01/05/2013,16545,17144,-3.493933738
EAST,2013,01/06/2013,16542,16545,-0.018132366
EAST,2013,01/07/2013,14780,16542,-10.65167453
EAST,2013,01/08/2013,15078,14780,2.01623816
EAST,2013,01/09/2013,10631,15078,-29.4933015
EAST,2013,01/10/2013,8989,10631,-15.44539554
EAST,2013,01/11/2013,8369,8989,-6.897318945
EAST,2013,01/12/2013,14013,8369,67.43935954
EAST,2014,01/01/2014,7892,14013,-43.68086777
EAST,2014,01/02/2014,7644,7892,-3.142422707
EAST,2014,01/03/2014,15012,7644,96.38932496
EAST,2014,01/04/2014,17876,15012,19.07807088
EAST,2014,01/05/2014,19648,17876,9.912732155
EAST,2014,01/06/2014,16894,19648,-14.01669381
EAST,2014,01/07/2014,14240,16894,-15.70971943
EAST,2014,01/08/2014,15020,14240,5.47752809
EAST,2014,01/09/2014,9570,15020,-36.2849534
EAST,2014,01/10/2014,9083,9570,-5.088819227
EAST,2014,01/11/2014,9080,9083,-0.033028735
EAST,2014,01/12/2014,14860,9080,63.65638767
EAST,2015,01/01/2015,6416,14860,-56.82368775
EAST,2015,01/02/2015,8727,6416,36.01932668
EAST,2015,01/03/2015,12750,8727,46.09831557
EAST,2015,01/04/2015,21343,12750,67.39607843
EAST,2015,01/05/2015,18414,21343,-13.72346905
EAST,2015,01/06/2015,16787,18414,-8.835668513
EAST,2015,01/07/2015,13898,16787,-17.20974564
EAST,2015,01/08/2015,14400,13898,3.612030508
EAST,2015,01/09/2015,13555,14400,-5.868055556
EAST,2015,01/10/2015,9576,13555,-29.35448174
EAST,2015,01/11/2015,9020,9576,-5.806182122
EAST,2015,01/12/2015,14354,9020,59.13525499
EAST,2016,01/01/2016,7866,14354,-45.19994427
EAST,2016,01/02/2016,8523,7866,8.352402746
EAST,2016,01/03/2016,13168,8523,54.49958935
EAST,2016,01/04/2016,20715,13168,57.31318348
EAST,2016,01/05/2016,18568,20715,-10.36447019
EAST,2016,01/06/2016,17781,18568,-4.238474795
EAST,2016,01/07/2016,13727,17781,-22.79961757
EAST,2016,01/08/2016,15469,13727,12.69031835
EAST,2016,01/09/2016,10156,15469,-34.34611158
EAST,2016,01/10/2016,7941,10156,-21.80976763
EAST,2016,01/11/2016,8252,7941,3.916383327
EAST,2016,01/12/2016,13188,8252,59.81580223
EAST,2017,01/01/2017,6753,13188,-48.79435851
EAST,2017,01/02/2017,6692,6753,-0.903302236
EAST,2017,01/03/2017,13141,6692,96.36879857
EAST,2017,01/04/2017,16779,13141,27.6843467
EAST,2017,01/05/2017,17932,16779,6.871684844
EAST,2017,01/06/2017,19181,17932,6.965201874
EAST,2017,01/07/2017,13943,19181,-27.30827381
EAST,2017,01/08/2017,13207,13943,-5.27863444
EAST,2017,01/09/2017,10014,13207,-24.17657303
EAST,2017,01/10/2017,8755,10014,-12.57239864
EAST,2017,01/11/2017,7484,8755,-14.51741862
EAST,2017,01/12/2017,9870,7484,31.88134687
EAST,2018,01/01/2018,6063,9870,-38.57142857
EAST,2018,01/02/2018,6974,6063,15.0255649
EAST,2018,01/03/2018,10820,6974,55.14769143
EAST,2018,01/04/2018,15520,10820,43.43807763
EAST,2018,01/05/2018,18181,15520,17.14561856
EAST,2018,01/06/2018,19843,18181,9.141411364
EAST,2018,01/07/2018,13010,19843,-34.43531724
EAST,2018,01/08/2018,12223,13010,-6.049192929
EAST,2018,01/09/2018,7535,12223,-38.35392293
EAST,2018,01/10/2018,5793,7535,-23.11877903
EAST,2018,01/11/2018,4443,5793,-23.30398757
EAST,2018,01/12/2018,6469,4443,45.59981994
EAST,2019,01/01/2019,4149,6469,-35.86334828
EAST,2019,01/02/2019,5227,4149,25.98216438
EAST,2019,01/03/2019,7536,5227,44.17447867
EAST,2019,01/04/2019,8695,7536,15.37951168
EAST,2019,01/05/2019,8726,8695,0.35652674
EAST,2019,01/06/2019,9052,8726,3.735961494
EAST,2019,01/07/2019,7404,9052,-18.20592134
EAST,2019,01/08/2019,7944,7404,7.293354943
EAST,2019,01/09/2019,5707,7944,-28.15961732
EAST,2019,01/10/2019,4530,5707,-20.62379534
EAST,2019,01/11/2019,3707,4530,-18.16777042
EAST,2019,01/12/2019,6008,3707,62.07175614
EAST,2020,01/01/2020,2596,6008,-56.79094541
EAST,2020,01/02/2020,2918,2596,12.403698
EAST,2020,01/03/2020,6987,2918,139.4448252
EAST,2020,01/04/2020,8938,6987,27.9232861
EAST,2020,01/05/2020,7778,8938,-12.97829492
EAST,2020,01/06/2020,6706,7778,-13.78246336
EAST,2020,01/07/2020,5883,6706,-12.27259171
EAST,2020,01/08/2020,6828,5883,16.06323304
EAST,2020,01/09/2020,4779,6828,-30.00878735
EAST,2020,01/10/2020,3778,4779,-20.94580456
EAST,2020,01/11/2020,2903,3778,-23.16040233
EAST,2020,01/12/2020,4313,2903,48.57044437
EAST,2021,01/01/2021,2335,4313,-45.86134941
EAST,2021,01/02/2021,3737,2335,60.04282655
EAST,2021,01/03/2021,7792,3737,108.5094996
EAST,2021,01/04/2021,8412,7792,7.95687885
EAST,2021,01/05/2021,8134,8412,-3.304802663
EAST,2021,01/06/2021,7721,8134,-5.077452668
EAST,2021,01/07/2021,5926,7721,-23.2482839
EAST,2021,01/08/2021,5961,5926,0.590617617
EAST,2021,01/09/2021,4131,5961,-30.69954706
EAST,2021,01/10/2021,3479,4131,-15.78310336
EAST,2021,01/11/2021,2876,3479,-17.33256683
EAST,2021,01/12/2021,4466,2876,55.28511822
EAST,2022,01/01/2022,2906,4466,-34.93058665
EAST,2022,01/02/2022,3849,2906,32.45010323
EAST,2022,01/03/2022,8475,3849,120.1870616
EAST,2022,01/04/2022,8449,8475,-0.306784661
EAST,2022,01/05/2022,7619,8449,-9.823647769
EAST,2022,01/06/2022,7484,7619,-1.771886074
EAST,2022,01/07/2022,5789,7484,-22.64831641
EAST,2022,01/08/2022,5966,5789,3.057522888
EAST,2022,01/09/2022,4724,5966,-20.81796849
EAST,2022,01/10/2022,3697,4724,-21.7400508
EAST,2022,01/11/2022,2886,3697,-21.93670544
EAST,2022,01/12/2022,4694,2886,62.64726265
WEST,2012,01/07/2012,5349,,
WEST,2012,01/08/2012,7042,5349,31.65077585
WEST,2012,01/09/2012,5946,7042,-15.5637603
WEST,2012,01/10/2012,5884,5946,-1.042717793
WEST,2012,01/11/2012,6161,5884,4.707681849
WEST,2012,01/12/2012,9280,6161,50.62489856
WEST,2013,01/01/2013,5771,9280,-37.8125
WEST,2013,01/02/2013,6955,5771,20.51637498
WEST,2013,01/03/2013,8122,6955,16.77929547
WEST,2013,01/04/2013,9281,8122,14.26988426
WEST,2013,01/05/2013,8759,9281,-5.624393923
WEST,2013,01/06/2013,8968,8759,2.386117137
WEST,2013,01/07/2013,7759,8968,-13.48126673
WEST,2013,01/08/2013,8477,7759,9.253769816
WEST,2013,01/09/2013,6953,8477,-17.97805828
WEST,2013,01/10/2013,6266,6953,-9.880627067
WEST,2013,01/11/2013,6359,6266,1.484200447
WEST,2013,01/12/2013,10328,6359,62.41547413
WEST,2014,01/01/2014,6906,10328,-33.13323005
WEST,2014,01/02/2014,6783,6906,-1.781059948
WEST,2014,01/03/2014,9401,6783,38.59649123
WEST,2014,01/04/2014,10991,9401,16.91309435
WEST,2014,01/05/2014,10426,10991,-5.140569557
WEST,2014,01/06/2014,8849,10426,-15.12564742
WEST,2014,01/07/2014,8220,8849,-7.108147813
WEST,2014,01/08/2014,8963,8220,9.03892944
WEST,2014,01/09/2014,6590,8963,-26.47551043
WEST,2014,01/10/2014,6890,6590,4.552352049
WEST,2014,01/11/2014,6445,6890,-6.458635704
WEST,2014,01/12/2014,10935,6445,69.66640807
WEST,2015,01/01/2015,5786,10935,-47.08733425
WEST,2015,01/02/2015,6820,5786,17.87072243
WEST,2015,01/03/2015,9312,6820,36.53958944
WEST,2015,01/04/2015,10447,9312,12.18857388
WEST,2015,01/05/2015,10062,10447,-3.685268498
WEST,2015,01/06/2015,9148,10062,-9.083681177
WEST,2015,01/07/2015,7847,9148,-14.2216878
WEST,2015,01/08/2015,9019,7847,14.9356442
WEST,2015,01/09/2015,8352,9019,-7.395498392
WEST,2015,01/10/2015,7747,8352,-7.243773946
WEST,2015,01/11/2015,7478,7747,-3.472311863
WEST,2015,01/12/2015,10143,7478,35.63787109
WEST,2016,01/01/2016,6208,10143,-38.79522824
WEST,2016,01/02/2016,6573,6208,5.879510309
WEST,2016,01/03/2016,7981,6573,21.42096455
WEST,2016,01/04/2016,10223,7981,28.09171783
WEST,2016,01/05/2016,11111,10223,8.686295608
WEST,2016,01/06/2016,10653,11111,-4.12204122
WEST,2016,01/07/2016,8030,10653,-24.62217216
WEST,2016,01/08/2016,8918,8030,11.05853051
WEST,2016,01/09/2016,7253,8918,-18.6701054
WEST,2016,01/10/2016,6642,7253,-8.424100372
WEST,2016,01/11/2016,6901,6642,3.899427883
WEST,2016,01/12/2016,8629,6901,25.0398493
WEST,2017,01/01/2017,4977,8629,-42.32240121
WEST,2017,01/02/2017,6069,4977,21.94092827
WEST,2017,01/03/2017,8125,6069,33.87708024
WEST,2017,01/04/2017,9606,8125,18.22769231
WEST,2017,01/05/2017,9890,9606,2.95648553
WEST,2017,01/06/2017,9829,9890,-0.616784631
WEST,2017,01/07/2017,7211,9829,-26.63546648
WEST,2017,01/08/2017,7477,7211,3.688808764
WEST,2017,01/09/2017,6328,7477,-15.36712585
WEST,2017,01/10/2017,5508,6328,-12.95828066
WEST,2017,01/11/2017,5883,5508,6.808278867
WEST,2017,01/12/2017,6616,5883,12.45962944
WEST,2018,01/01/2018,4063,6616,-38.58827086
WEST,2018,01/02/2018,4537,4063,11.66625646
WEST,2018,01/03/2018,7510,4537,65.52788186
WEST,2018,01/04/2018,7847,7510,4.4873502
WEST,2018,01/05/2018,9130,7847,16.35019753
WEST,2018,01/06/2018,9746,9130,6.746987952
WEST,2018,01/07/2018,6858,9746,-29.63266981
WEST,2018,01/08/2018,6244,6858,-8.953047536
WEST,2018,01/09/2018,4575,6244,-26.72966047
WEST,2018,01/10/2018,3357,4575,-26.62295082
WEST,2018,01/11/2018,3276,3357,-2.412868633
WEST,2018,01/12/2018,3825,3276,16.75824176
WEST,2019,01/01/2019,3031,3825,-20.75816993
WEST,2019,01/02/2019,3131,3031,3.299241175
WEST,2019,01/03/2019,3743,3131,19.54647078
WEST,2019,01/04/2019,4210,3743,12.47662303
WEST,2019,01/05/2019,4492,4210,6.698337292
WEST,2019,01/06/2019,4595,4492,2.292965272
WEST,2019,01/07/2019,3736,4595,-18.69423286
WEST,2019,01/08/2019,4128,3736,10.49250535
WEST,2019,01/09/2019,3214,4128,-22.14147287
WEST,2019,01/10/2019,2468,3214,-23.21095208
WEST,2019,01/11/2019,2165,2468,-12.27714749
WEST,2019,01/12/2019,2751,2165,27.0669746
WEST,2020,01/01/2020,1903,2751,-30.82515449
WEST,2020,01/02/2020,2270,1903,19.28533894
WEST,2020,01/03/2020,3306,2270,45.63876652
WEST,2020,01/04/2020,4098,3306,23.95644283
WEST,2020,01/05/2020,3864,4098,-5.710102489
WEST,2020,01/06/2020,3234,3864,-16.30434783
WEST,2020,01/07/2020,2902,3234,-10.26592455
WEST,2020,01/08/2020,3274,2902,12.81874569
WEST,2020,01/09/2020,2417,3274,-26.17593158
WEST,2020,01/10/2020,1790,2417,-25.94124948
WEST,2020,01/11/2020,1740,1790,-2.793296089
WEST,2020,01/12/2020,2251,1740,29.36781609
WEST,2021,01/01/2021,1593,2251,-29.23145269
WEST,2021,01/02/2021,1989,1593,24.85875706
WEST,2021,01/03/2021,3385,1989,70.18602313
WEST,2021,01/04/2021,3812,3385,12.61447563
WEST,2021,01/05/2021,3508,3812,-7.974816369
WEST,2021,01/06/2021,3351,3508,-4.475484607
WEST,2021,01/07/2021,2681,3351,-19.99403163
WEST,2021,01/08/2021,2952,2681,10.10816859
WEST,2021,01/09/2021,2184,2952,-26.01626016
WEST,2021,01/10/2021,1789,2184,-18.08608059
WEST,2021,01/11/2021,1841,1789,2.906651761
WEST,2021,01/12/2021,2303,1841,25.09505703
WEST,2022,01/01/2022,2043,2303,-11.28962223
WEST,2022,01/02/2022,2530,2043,23.83749388
WEST,2022,01/03/2022,3528,2530,39.44664032
WEST,2022,01/04/2022,3771,3528,6.887755102
WEST,2022,01/05/2022,3782,3771,0.291699814
WEST,2022,01/06/2022,3438,3782,-9.095716552
WEST,2022,01/07/2022,2637,3438,-23.29842932
WEST,2022,01/08/2022,2995,2637,13.57603337
WEST,2022,01/09/2022,2539,2995,-15.22537563
WEST,2022,01/10/2022,2142,2539,-15.6360772
WEST,2022,01/11/2022,2028,2142,-5.322128852
WEST,2022,01/12/2022,2424,2028,19.52662722
