region,year,month,total_quantity
EAST,2022,01/01/2022,2906
EAST,2022,01/02/2022,3849
EAST,2022,01/03/2022,8475
EAST,2022,01/04/2022,8449
EAST,2022,01/05/2022,7619
EAST,2022,01/06/2022,7484
EAST,2022,01/07/2022,5789
EAST,2022,01/08/2022,5966
EAST,2022,01/09/2022,4724
EAST,2022,01/10/2022,3697
EAST,2022,01/11/2022,2886
EAST,2022,01/12/2022,4694
WEST,2012,01/07/2012,5349
WEST,2012,01/08/2012,7042
WEST,2012,01/09/2012,5946
WEST,2012,01/10/2012,5884
WEST,2012,01/11/2012,6161
WEST,2012,01/12/2012,9280
WEST,2013,01/01/2013,5771
WEST,2013,01/02/2013,6955
WEST,2013,01/03/2013,8122
WEST,2013,01/04/2013,9281
WEST,2013,01/05/2013,8759
WEST,2013,01/06/2013,8968
WEST,2013,01/07/2013,7759
WEST,2013,01/08/2013,8477
WEST,2013,01/09/2013,6953
WEST,2013,01/10/2013,6266
WEST,2013,01/11/2013,6359
WEST,2013,01/12/2013,10328
WEST,2014,01/01/2014,6906
WEST,2014,01/02/2014,6783
WEST,2014,01/03/2014,9401
WEST,2014,01/04/2014,10991
WEST,2014,01/05/2014,10426
WEST,2014,01/06/2014,8849
WEST,2014,01/07/2014,8220
WEST,2014,01/08/2014,8963
WEST,2014,01/09/2014,6590
WEST,2014,01/10/2014,6890
WEST,2014,01/11/2014,6445
WEST,2014,01/12/2014,10935
WEST,2015,01/01/2015,5786
WEST,2015,01/02/2015,6820
WEST,2015,01/03/2015,9312
WEST,2015,01/04/2015,10447
WEST,2015,01/05/2015,10062
WEST,2015,01/06/2015,9148
WEST,2015,01/07/2015,7847
WEST,2015,01/08/2015,9019
WEST,2015,01/09/2015,8352
WEST,2015,01/10/2015,7747
WEST,2015,01/11/2015,7478
WEST,2015,01/12/2015,10143
WEST,2016,01/01/2016,6208
WEST,2016,01/02/2016,6573
WEST,2016,01/03/2016,7981
WEST,2016,01/04/2016,10223
WEST,2016,01/05/2016,11111
WEST,2016,01/06/2016,10653
WEST,2016,01/07/2016,8030
WEST,2016,01/08/2016,8918
WEST,2016,01/09/2016,7253
WEST,2016,01/10/2016,6642
WEST,2016,01/11/2016,6901
WEST,2016,01/12/2016,8629
WEST,2017,01/01/2017,4977
WEST,2017,01/02/2017,6069
WEST,2017,01/03/2017,8125
WEST,2017,01/04/2017,9606
WEST,2017,01/05/2017,9890
WEST,2017,01/06/2017,9829
WEST,2017,01/07/2017,7211
WEST,2017,01/08/2017,7477
WEST,2017,01/09/2017,6328
WEST,2017,01/10/2017,5508
WEST,2017,01/11/2017,5883
WEST,2017,01/12/2017,6616
WEST,2018,01/01/2018,4063
WEST,2018,01/02/2018,4537
WEST,2018,01/03/2018,7510
WEST,2018,01/04/2018,7847
WEST,2018,01/05/2018,9130
WEST,2018,01/06/2018,9746
WEST,2018,01/07/2018,6858
WEST,2018,01/08/2018,6244
WEST,2018,01/09/2018,4575
WEST,2018,01/10/2018,3357
WEST,2018,01/11/2018,3276
WEST,2018,01/12/2018,3825
WEST,2019,01/01/2019,3031
WEST,2019,01/02/2019,3131
WEST,2019,01/03/2019,3743
WEST,2019,01/04/2019,4210
WEST,2019,01/05/2019,4492
WEST,2019,01/06/2019,4595
WEST,2019,01/07/2019,3736
WEST,2019,01/08/2019,4128
WEST,2019,01/09/2019,3214
WEST,2019,01/10/2019,2468
WEST,2019,01/11/2019,2165
WEST,2019,01/12/2019,2751
WEST,2020,01/01/2020,1903
WEST,2020,01/02/2020,2270
WEST,2020,01/03/2020,3306
WEST,2020,01/04/2020,4098
WEST,2020,01/05/2020,3864
WEST,2020,01/06/2020,3234
WEST,2020,01/07/2020,2902
WEST,2020,01/08/2020,3274
WEST,2020,01/09/2020,2417
WEST,2020,01/10/2020,1790
WEST,2020,01/11/2020,1740
WEST,2020,01/12/2020,2251
WEST,2021,01/01/2021,1593
WEST,2021,01/02/2021,1989
WEST,2021,01/03/2021,3385
WEST,2021,01/04/2021,3812
WEST,2021,01/05/2021,3508
WEST,2021,01/06/2021,3351
WEST,2021,01/07/2021,2681
WEST,2021,01/08/2021,2952
WEST,2021,01/09/2021,2184
WEST,2021,01/10/2021,1789
WEST,2021,01/11/2021,1841
WEST,2021,01/12/2021,2303
WEST,2022,01/01/2022,2043
WEST,2022,01/02/2022,2530
WEST,2022,01/03/2022,3528
WEST,2022,01/04/2022,3771
WEST,2022,01/05/2022,3782
WEST,2022,01/06/2022,3438
WEST,2022,01/07/2022,2637
WEST,2022,01/08/2022,2995
WEST,2022,01/09/2022,2539
WEST,2022,01/10/2022,2142
WEST,2022,01/11/2022,2028
WEST,2022,01/12/2022,2424
